Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
412,19,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,1,4,30,5,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants",,500000,8,"Institutional,Local,Regional,National",,30,"Institutional,Local,Regional,National,International",,Neither Agree or Disagree (4),Disagree (3),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),,,,,,Often,I work on stuff often instead of interacting with my wife,No,,,,,,,,,,,,
413,19,Woman,White,Single,Tenure Track,,No,,,5,158,5,"NIH grants,Not-for-profit organizational grants",,"500,000",4,National,,15,"National,International",,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Rarely,,No,Survey fatigue,,,,,,,,,,,
414,26,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Other: {trackmisc}","We don't have a true Teaching appointment, though that's my personal aim",Yes,1,Less clinic time: Medical student clerkship director,1,0,0,,,,1,Institutional,,2,Institutional,,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Agree (7),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Rarely,When I'm on call I am not available during the weekends or during some holidays.,Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Once per week,Once per week,A few times per week,Once per week,A few times per week,A few times per month,Once per month or less,A few times per month
415,19,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Yes,1,None,0,,0,,,,1,Institutional,,2,"Local,Regional",,Disagree (3),Agree (5),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),I do more,I do more,I do more,I do more,I do more,Often,,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,A few times per week,Once per week,Once per week,Once per week,Every day,Once per week,Once per week,A few times per week
416,19,Woman,Black or African American,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,
417,19,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,Director of Pediatric Epilepsy,2,20,5,"Not-for-profit organizational grants,Foundational grants,Medical societies",,"800,000",12,"Institutional,National",,12,"Institutional,Local,Regional,National",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Disagree (3),Partner does more,Partner does more,Partner does more,Partner does more,Share equally,Sometimes,I can't spend as much time with my family as I wish. I take work home every day. ,Yes,,Always feel rushed,1 Not at all burned out,Every day,Never,Never,A few times per month,Never,Every day,Never,Never,Every day
418,19,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,minimal incentives for my leadership positions (reduced 1/2 clinic day based on all my leadership positions),4,3,0,,,,1,Local,,5,"Local,Regional,International",,Disagree (3),Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Neither Agree or Disagree (4),Partner does more,Partner does more,Partner does more,Partner does more,Share equally,Sometimes,"Call schedules, less time with kids / helping at home than I would like at times.  Overall though, I'm happy with the balance.",No,Survey fatigue,,,,,,,,,,,
419,19,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Yes,2,Vice Chair,1,1,0,,,,0,,,10,"Institutional,Local,Regional",,Disagree (3),Disagree (3),Disagree (3),Very Strongly Disagree (1),Very Strongly Disagree (1),Strongly Disagree (2),,,,,,Often,Not enough time for activities outside of work,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per month,Once per month or less,A few times per year,Once per week,Never,Never,A few times per week
420,19,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,2,service chief at VA,4,2,5,"Institutional grants,Other: {sourceetc}",VA Merit,650000,5,"Institutional,National",,3,Regional,,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Partner does more,Partner does more,Share equally,I do more,Share equally,Sometimes,,Yes,,Always feel rushed,2 Slightly burned out,Once per week,A few times per year,A few times per month,A few times per month,Never,A few times per week,A few times per month,A few times per year,Never
421,19,Man,White,Married,Academic Track - Teaching,,Yes,1,residency director,1,0,0,,,,5,Institutional,,1,Regional,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Rarely,,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per month,Never,A few times per year,A few times per week,Never,A few times per year,Every day
422,22,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,Less clinical,1,5,0,,,,3,Institutional,,7,"Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Strongly Disagree (2),I do more,Share equally,I do more,I do more,Partner does more,Rarely,,No,Already answered in a previous burnout survey,,,,,,,,,,,
423,24,Woman,White,"Domestic partnership,Long-term committed relationship","Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research",,No,,,1,1,1,NIH grants,,0,0,,,0,,,Agree (5),Agree (5),Disagree (3),Agree (5),Disagree (3),Disagree (3),,,,,,Often,"catching up on work on nights, weekends, 'vacation' ",Yes,,Always feel rushed,2 Slightly burned out,Every day,A few times per month,Once per week,Once per week,Once per month or less,Every day,A few times per month,A few times per year,A few times per week
424,22,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Yes,5,Fellowship Program Director ,2,0,0,,,,0,,,25,"Institutional,Local,Regional,National",,Strongly Agree (6),Very Strongly Agree (7),Strongly Agree (6),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Partner does more,Partner does more,Partner does more,Share equally,Share equally,Often,"It is constantly on my mind and I feel that unless I am on top of everything, I will be viewed as falling behind my peers. Before-hours and after-hours meetings are standard at my institution and I am worried about missing meetings and being left out, since no agenda or summaries are communicated beforehand or afterwards. The senior leaders in my department state they appreciate our hard work, but my hunch is these male leaders had a higher level of support at home decades ago when they had young children, compared to myself. ",Yes,,Sometimes feel rushed,4 Very burned out,A few times per week,Once per month or less,Once per week,Once per week,Once per month or less,A few times per week,A few times per week,A few times per month,A few times per week
425,26,Man,White,Separated,Clinician Track (clinical appointment with no academic appointment),,Yes,2,None,5,2,0,,,,12,Institutional,,15,"Institutional,Local,Regional,National,International",,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),N/A,,,,,,Rarely,Weekend and night call,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,A few times per month,A few times per year,Never,Every day,Never,Never,Every day
426,22,Woman,White,Single,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,0,2,2,2,"Institutional grants,Industry trials",,"400,000",5,"Institutional,Other: {levelawardetc}",Industry,9,"Institutional,Local,Regional,National",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),,,,,,Sometimes,,Yes,,Sometimes feel rushed,4 Very burned out,A few times per week,Once per week,A few times per week,A few times per week,A few times per week,A few times per week,Every day,Once per week,A few times per month
427,22,Woman,Asian,Domestic partnership,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,0,5,5,7,"Not-for-profit organizational grants,Foundational grants,Industry trials",,"200,000",0,,,30,"Institutional,Local,Regional,National,International",,Agree (5),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Sometimes,Long hours at work. Job satisfaction. Financial compensation. ,Yes,,Sometimes feel rushed,4 Very burned out,A few times per week,Every day,A few times per week,Once per month or less,A few times per year,Every day,Once per month or less,Never,Once per week
428,22,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,course director in medical school-40% FTE,1,2,0,,,,1,Institutional,,3,"Local,National",,Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Agree (5),Disagree (3),Very Strongly Disagree (1),Share equally,Share equally,I do more,Share equally,Partner does more,Sometimes,only so many hours in the day,No,Survey fatigue,,,,,,,,,,,
429,22,Woman,Asian,Married,"Unpaid Academic Appointment (eg, adjunct, affiliate)",,No,,,0,,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Agree (5),Disagree (3),Disagree (3),I do more,I do more,I do more,I do more,I do more,Rarely,call schedule can put more childcare burden on partner,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,A few times per year,A few times per year,Never,Once per week,Never,Never,Once per month or less
430,24,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Yes,1,Associate Program Director,1,1,0,,,,0,,,0,,,Agree (5),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Agree (5),Partner does more,Partner does more,I do more,I do more,Share equally,Often,"not being home for dinner, having night meetings interfering with spending time with kids",No,Survey fatigue,,,,,,,,,,,
431,22,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,"Director of clinic, director of an improvement program for neurology",0,,0,,,,1,Other: {levelawardetc},department,5,"Institutional,Local",,Agree (5),Agree (5),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Share equally,Partner does more,I do more,I do more,I do more,Often,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per month,Once per month or less,Once per month or less,Every day,Once per month or less,A few times per year,Once per week
432,22,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,2,0,,,,0,,,5,"Local,Regional,National",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Always,I didn't have much time outside of work where I was awake and not doing note or writing manuscripts or working on patient care needs - maybe 30-45 minutes per night. ,Yes,,Always feel rushed,4 Very burned out,Every day,Once per week,Every day,A few times per week,A few times per week,A few times per year,Every day,A few times per year,Never
433,24,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,na,1,3,16,Industry trials,,30K,1,Local,,15,"Local,Regional,National",,Neither Agree or Disagree (4),Disagree (3),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Agree (5),,,,,,Sometimes,"restricted vacation days, weekend duties, less energy to socialize, poor availability to help aging parents",No,Survey fatigue,,,,,,,,,,,
435,26,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,8,division chief,5,4,4,Institutional grants,,25000,5,"Institutional,Local,National",,15,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Agree (6),Agree (5),Agree (5),Strongly Agree (6),Strongly Agree (6),Partner does more,Partner does more,I do more,I do more,Share equally,Often,"Aggressors, stressors on mental bandwidth",No,Survey fatigue,,,,,,,,,,,
436,26,Woman,White,Married,Tenure Track,,Yes,3,Associate Chair,17,10,14,"NIH grants,Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,"3,500,000",7,"Institutional,Regional,National",,34,"Institutional,National,International",,Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),Agree (5),Partner does more,Does not apply,Partner does more,Partner does more,Share equally,Sometimes,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Once per month or less,A few times per week,Once per week,Never,A few times per week,A few times per week,A few times per year,Once per month or less
437,26,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,1,15000,1,1,1,Other: {sourceetc},State Department of Health,100000,2,Institutional,,0,,,Disagree (3),Neither Agree or Disagree (4),Strongly Disagree (2),Disagree (3),Very Strongly Disagree (1),Very Strongly Agree (7),,,,,,Sometimes,Difficult to schedule activities due to chaotic work schedule.,No,Survey fatigue,,,,,,,,,,,
438,22,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,associate clerkship director,1,0,0,,,,0,,,8,"Institutional,Regional,National",,Agree (5),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Disagree (3),Agree (5),Partner does more,Share equally,Partner does more,Share equally,Share equally,Sometimes,"pager call overnight, planning or cancelling after hours engagements due to work obligations, getting home late in the evenings, not able to attend weekend activities (sports/church, etc.) due to work obligations",Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,A few times per week,A few times per week,A few times per week,A few times per month,Once per month or less,A few times per month,Never
439,24,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Clinical Service Chief,2,10,0,,,,10,"Institutional,Regional,National",,100,"Institutional,Local,Regional,National,International",,Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Neither Agree or Disagree (4),Partner does more,Partner does more,Partner does more,Partner does more,I do more,Never,,Yes,,Almost never feel rushed,1 Not at all burned out,Every day,Never,Never,Never,Never,A few times per week,Never,Never,A few times per week
440,20,Woman,White,Married,Academic Track - Research,,No,,,3.6,18,2,"Institutional grants,Not-for-profit organizational grants",,250,2,"Institutional,National",,12,"Institutional,Local,Regional,National",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Neither Agree or Disagree (4),Agree (5),,,,,,Often,,No,Survey fatigue,,,,,,,,,,,
